GrLivArea,SalePrice,ctext
969,122000,some text here
1710,372402,some text here
1993,190000,some text here
1252,235000,some text here
1200,125000,some text here
1096,79000,some text here
1040,109500,some text here
1968,269500,some text here
1947,254900,some text here
2462,320000,some text here
1232,162500,some text here
2668,412500,some text here
1541,220000,some text here
882,103200,some text here
1616,152000,some text here
1355,127500,some text here
1867,190000,some text here
2161,325624,some text here
1720,183500,some text here
1707,228000,some text here
1382,128500,some text here
1656,215000,some text here
1767,239000,some text here
1362,163000,some text here
1651,184000,some text here
2158,243000,some text here
2060,211000,some text here
1920,172500,some text here
2234,501837,some text here
968,100000,some text here
1525,177000,some text here
1802,200100,some text here
1340,120000,some text here
2082,200000,some text here
1252,127000,some text here
3608,475000,some text here
1217,173000,some text here
1656,135000,some text here
1224,153337,some text here
1593,286000,some text here
2727,315000,some text here
1479,184000,some text here
1431,192000,some text here
1709,130000,some text here
864,127000,some text here
1456,148500,some text here
1726,311872,some text here
3112,235000,some text here
2229,104000,some text here
1713,274900,some text here
1121,140000,some text here
1279,171500,some text here
1310,112000,some text here
848,149000,some text here
1284,110000,some text here
1442,180500,some text here
1696,143900,some text here
1100,141000,some text here
2062,277000,some text here
1092,145000,some text here
864,98000,some text here
1212,186000,some text here
1852,252678,some text here
990,156000,some text here
1392,161750,some text here
1236,134450,some text here
1436,210000,some text here
1328,107000,some text here
1954,311500,some text here
1248,167240,some text here
1498,204900,some text here
2267,200000,some text here
1552,179900,some text here
864,97000,some text here
2392,386250,some text here
1302,112000,some text here
2520,290000,some text here
987,106000,some text here
912,125000,some text here
1555,192500,some text here
1194,148000,some text here
2794,403000,some text here
987,94500,some text here
894,128200,some text here
1960,216500,some text here
987,89500,some text here
1414,185500,some text here
1744,194500,some text here
1694,318000,some text here
1487,113000,some text here
1566,262500,some text here
866,110500,some text here
1440,79000,some text here
1217,120000,some text here
2110,205000,some text here
1872,241500,some text here
1928,137000,some text here
1375,140000,some text here
1668,180000,some text here
2144,277000,some text here
1306,76500,some text here
1625,235000,some text here
1640,173000,some text here
1302,158000,some text here
1314,145000,some text here
2291,230000,some text here
1728,207500,some text here
1604,220000,some text here
1792,231500,some text here
882,97000,some text here
1382,176000,some text here
2574,276000,some text here
1212,151000,some text here
1316,130000,some text here
764,73000,some text here
1422,175500,some text here
1511,185000,some text here
2192,179500,some text here
778,120500,some text here
1113,148000,some text here
1939,266000,some text here
1363,241500,some text here
2270,290000,some text here
1632,139000,some text here
816,124500,some text here
1548,205000,some text here
1560,201000,some text here
864,141000,some text here
2121,415298,some text here
2022,192000,some text here
1982,228500,some text here
1262,185000,some text here
1314,207500,some text here
1468,244600,some text here
1575,179200,some text here
1250,164700,some text here
1734,159000,some text here
858,88000,some text here
900,122000,some text here
1396,153575,some text here
1919,233230,some text here
1716,135900,some text here
1716,131000,some text here
2263,235000,some text here
1644,167000,some text here
1003,142500,some text here
1558,152000,some text here
1950,239000,some text here
1743,175000,some text here
1152,158500,some text here
1336,157000,some text here
2452,267000,some text here
1541,205000,some text here
894,149900,some text here
3493,295000,some text here
2000,305900,some text here
2243,225000,some text here
1406,89500,some text here
861,82500,some text here
1944,360000,some text here
1501,165600,some text here
972,132000,some text here
1118,119900,some text here
2036,375000,some text here
1641,178000,some text here
1432,188500,some text here
2353,260000,some text here
1959,270000,some text here
2646,260000,some text here
1472,187500,some text here
2596,342643,some text here
2468,354000,some text here
2730,301000,some text here
1163,126175,some text here
2978,242000,some text here
803,87000,some text here
1719,324000,some text here
1383,145250,some text here
2134,214500,some text here
1192,78000,some text here
1728,119000,some text here
1056,139000,some text here
1629,284000,some text here
1358,207000,some text here
1638,192000,some text here
1786,228950,some text here
1922,377426,some text here
1536,214000,some text here
1621,202500,some text here
1215,155000,some text here
1908,202900,some text here
841,82000,some text here
1040,87500,some text here
1684,266000,some text here
1112,85000,some text here
1577,140200,some text here
958,151500,some text here
1478,157500,some text here
1626,154000,some text here
2728,437154,some text here
1869,318061,some text here
1453,190000,some text here
1111,95000,some text here
720,105900,some text here
1595,140000,some text here
1200,177500,some text here
1167,173000,some text here
1142,134000,some text here
1352,130000,some text here
1924,280000,some text here
912,156000,some text here
1505,145000,some text here
1922,198500,some text here
987,118000,some text here
1574,190000,some text here
1344,147000,some text here
1394,159000,some text here
1431,165000,some text here
1268,132000,some text here
1287,162000,some text here
1664,172400,some text here
1588,134432,some text here
752,125000,some text here
1319,123000,some text here
1928,219500,some text here
904,61000,some text here
914,148000,some text here
2466,340000,some text here
1856,394432,some text here
1800,179000,some text here
1691,127000,some text here
1301,187750,some text here
1797,213500,some text here
784,76000,some text here
1953,240000,some text here
1269,192000,some text here
1184,81000,some text here
1125,125000,some text here
1479,191000,some text here
2332,426000,some text here
1367,119000,some text here
1961,215000,some text here
882,106500,some text here
788,100000,some text here
1034,109000,some text here
1144,129000,some text here
894,123000,some text here
1812,169500,some text here
1077,67000,some text here
1550,241000,some text here
1288,245500,some text here
1310,164990,some text here
672,108000,some text here
2263,258000,some text here
1572,168000,some text here
1620,150000,some text here
1639,115000,some text here
1680,177000,some text here
2172,280000,some text here
2078,339750,some text here
1276,60000,some text here
1056,145000,some text here
1478,222000,some text here
1028,115000,some text here
2097,228000,some text here
1340,181134,some text here
1400,149500,some text here
2624,239000,some text here
1134,126000,some text here
1056,142000,some text here
1344,206300,some text here
1602,215000,some text here
988,113000,some text here
2630,315000,some text here
1196,139000,some text here
1389,135000,some text here
1644,275000,some text here
907,109008,some text here
1208,195400,some text here
1412,175000,some text here
987,85400,some text here
1198,79900,some text here
1365,122500,some text here
1604,181000,some text here
630,81000,some text here
1661,212000,some text here
1118,116000,some text here
904,119000,some text here
694,90350,some text here
1196,110000,some text here
2402,555000,some text here
1440,118000,some text here
1573,162900,some text here
1258,172500,some text here
1908,210000,some text here
1689,127500,some text here
1888,190000,some text here
1886,199900,some text here
1376,119500,some text here
1183,120000,some text here
813,110000,some text here
1533,280000,some text here
1756,204000,some text here
1590,210000,some text here
1728,188000,some text here
1242,175500,some text here
1344,98000,some text here
1663,256000,some text here
1666,161000,some text here
1203,110000,some text here
1935,263435,some text here
1135,155000,some text here
864,62383,some text here
1660,188700,some text here
1040,124000,some text here
1414,178740,some text here
1277,167000,some text here
1644,146500,some text here
1634,250000,some text here
1710,187000,some text here
1502,212000,some text here
1969,190000,some text here
1072,148000,some text here
1976,440000,some text here
1652,251000,some text here
970,132500,some text here
1493,208900,some text here
2643,380000,some text here
1718,297000,some text here
1131,89471,some text here
1850,326000,some text here
1792,374000,some text here
1826,155000,some text here
1216,164000,some text here
999,132500,some text here
1113,147000,some text here
1073,156000,some text here
1484,175000,some text here
2414,160000,some text here
630,86000,some text here
1304,115000,some text here
1578,133000,some text here
1456,172785,some text here
1269,155000,some text here
886,91300,some text here
720,34900,some text here
3228,430000,some text here
1820,184000,some text here
899,130000,some text here
912,120000,some text here
1218,113000,some text here
1768,226700,some text here
1214,140000,some text here
1801,289000,some text here
1322,147000,some text here
1960,124500,some text here
1911,215000,some text here
1218,208300,some text here
1378,161000,some text here
1041,124500,some text here
1363,164900,some text here
1368,202665,some text here
864,129900,some text here
1080,134000,some text here
789,96500,some text here
2020,402861,some text here
2119,158000,some text here
2344,265000,some text here
1796,211000,some text here
2080,234000,some text here
1294,106250,some text here
1244,150000,some text here
1664,159000,some text here
4676,184750,some text here
2398,315750,some text here
1266,176000,some text here
928,132000,some text here
2713,446261,some text here
605,86000,some text here
2515,200624,some text here
1509,175000,some text here
1362,128000,some text here
827,107500,some text here
334,39300,some text here
1414,178000,some text here
1347,107500,some text here
1724,188000,some text here
864,111250,some text here
1159,158000,some text here
1601,272000,some text here
1838,315000,some text here
2285,248000,some text here
1680,213250,some text here
767,133000,some text here
1496,179665,some text here
2183,229000,some text here
1635,210000,some text here
768,129500,some text here
825,125000,some text here
2094,263000,some text here
1069,140000,some text here
928,112500,some text here
1717,255500,some text here
1126,108000,some text here
2046,284000,some text here
1048,113000,some text here
1092,141000,some text here
1336,108000,some text here
1446,175000,some text here
1557,234000,some text here
1392,121500,some text here
1389,170000,some text here
996,108000,some text here
1674,185000,some text here
2295,268000,some text here
1647,128000,some text here
2504,325000,some text here
1535,214000,some text here
2132,316600,some text here
943,135960,some text here
1728,142600,some text here
864,120000,some text here
1692,224500,some text here
1430,170000,some text here
1109,139000,some text here
1216,118500,some text here
1477,145000,some text here
1320,164500,some text here
1392,146000,some text here
1795,131500,some text here
1429,181900,some text here
2042,253293,some text here
816,118500,some text here
2775,325000,some text here
1573,133000,some text here
2028,369900,some text here
838,130000,some text here
860,137000,some text here
1473,143000,some text here
935,79500,some text here
1582,185900,some text here
2296,451950,some text here
816,138000,some text here
848,140000,some text here
924,110000,some text here
1826,319000,some text here
1368,114504,some text here
1402,194201,some text here
1647,217500,some text here
1556,151000,some text here
1904,275000,some text here
1375,141000,some text here
1915,220000,some text here
1200,151000,some text here
1494,221000,some text here
1986,205000,some text here
1040,152000,some text here
2008,225000,some text here
3194,359100,some text here
1029,118500,some text here
2153,313000,some text here
1032,148000,some text here
1872,261500,some text here
1120,147000,some text here
630,75500,some text here
1054,137500,some text here
1509,183200,some text here
832,105500,some text here
1828,314813,some text here
2262,305000,some text here
864,67000,some text here
2614,240000,some text here
980,135000,some text here
1512,168500,some text here
1790,165150,some text here
1116,160000,some text here
1422,139900,some text here
1520,153000,some text here
2080,135000,some text here
1350,168500,some text here
1750,124000,some text here
1554,209500,some text here
1411,82500,some text here
1056,139400,some text here
1056,144000,some text here
3395,200000,some text here
800,60000,some text here
1387,93000,some text here
796,85000,some text here
1567,264561,some text here
1518,274000,some text here
1929,226000,some text here
2704,345000,some text here
1620,152000,some text here
1766,370878,some text here
981,143250,some text here
1048,98300,some text here
1094,155000,some text here
1839,155000,some text here
630,84500,some text here
1665,205950,some text here
1510,108000,some text here
1716,191000,some text here
1469,135000,some text here
2113,350000,some text here
1092,88000,some text here
1053,145500,some text here
1502,149000,some text here
1458,97500,some text here
1486,167000,some text here
1935,197900,some text here
2448,402000,some text here
1392,110000,some text here
1181,137500,some text here
2097,423000,some text here
1936,230500,some text here
2380,129000,some text here
1679,193500,some text here
1437,168000,some text here
1180,137500,some text here
1476,173500,some text here
1369,103600,some text here
1208,165000,some text here
1839,257500,some text here
1136,140000,some text here
1441,148500,some text here
1774,87000,some text here
792,109500,some text here
2046,372500,some text here
988,128500,some text here
923,143000,some text here
1520,159434,some text here
1291,173000,some text here
1668,285000,some text here
1839,221000,some text here
2090,207500,some text here
1761,227875,some text here
1102,148800,some text here
1419,392000,some text here
1362,194700,some text here
848,141000,some text here
4316,755000,some text here
2519,335000,some text here
1073,108480,some text here
1539,141500,some text here
1137,176000,some text here
616,89000,some text here
1148,123500,some text here
894,138500,some text here
1391,196000,some text here
1800,312500,some text here
1164,140000,some text here
2576,361919,some text here
1812,140000,some text here
1484,213000,some text here
1092,55000,some text here
1824,302000,some text here
1324,254000,some text here
1456,179540,some text here
904,109900,some text here
729,52000,some text here
1178,102776,some text here
1228,189000,some text here
960,129000,some text here
1479,130500,some text here
1350,165000,some text here
2554,159500,some text here
1178,157000,some text here
2418,341000,some text here
971,128500,some text here
1742,275000,some text here
848,143000,some text here
864,124500,some text here
1470,135000,some text here
1698,320000,some text here
864,120500,some text here
1680,222000,some text here
1232,194500,some text here
1776,110000,some text here
1208,103000,some text here
1616,236500,some text here
1146,187500,some text here
2031,222500,some text here
1144,131400,some text here
948,108000,some text here
1768,163000,some text here
1040,93500,some text here
1801,239900,some text here
1200,179000,some text here
1728,190000,some text here
1432,132000,some text here
912,142000,some text here
1349,179000,some text here
1464,175000,some text here
1337,180000,some text here
2715,299800,some text here
2256,236000,some text here
2640,265979,some text here
1720,260400,some text here
1529,98000,some text here
1140,96500,some text here
1320,162000,some text here
1494,217000,some text here
2098,275500,some text here
1026,156000,some text here
1471,172500,some text here
1768,212000,some text here
1386,158900,some text here
1501,179400,some text here
2531,290000,some text here
864,127500,some text here
1301,100000,some text here
1547,215200,some text here
2365,337000,some text here
1494,270000,some text here
1506,264132,some text here
1714,196500,some text here
1750,160000,some text here
1836,216837,some text here
3279,538000,some text here
858,134900,some text here
1220,102000,some text here
1117,107000,some text here
912,114500,some text here
1973,395000,some text here
1204,162000,some text here
1614,221500,some text here
894,142500,some text here
2020,144000,some text here
1004,135000,some text here
1253,176000,some text here
1603,175900,some text here
1430,187100,some text here
1110,165500,some text here
1484,128000,some text here
1342,161500,some text here
1652,139000,some text here
2084,233000,some text here
901,107900,some text here
2087,187500,some text here
1145,160200,some text here
1062,146800,some text here
2013,269790,some text here
1496,225000,some text here
1895,194500,some text here
1564,171000,some text here
1285,143500,some text here
773,110000,some text here
3140,485000,some text here
1768,175000,some text here
1688,200000,some text here
1196,109900,some text here
1456,189000,some text here
2822,582933,some text here
1128,118000,some text here
1428,227680,some text here
980,135500,some text here
1576,223500,some text here
1086,159950,some text here
2138,106000,some text here
1309,181000,some text here
848,144500,some text here
1044,55993,some text here
1442,157900,some text here
1250,116000,some text here
1661,224900,some text here
1008,137000,some text here
1689,271000,some text here
1052,155000,some text here
1358,224000,some text here
1640,183000,some text here
936,93000,some text here
1733,225000,some text here
1489,139500,some text here
1489,232600,some text here
2084,385000,some text here
784,109500,some text here
1434,189000,some text here
2126,185000,some text here
1223,147400,some text here
1392,166000,some text here
1200,151000,some text here
1829,237000,some text here
1516,167000,some text here
1144,139950,some text here
1067,128000,some text here
1559,153500,some text here
987,100000,some text here
1099,144000,some text here
1200,130500,some text here
1482,140000,some text here
1539,157500,some text here
1165,174900,some text here
1800,141000,some text here
1416,153900,some text here
1701,171000,some text here
1775,213000,some text here
864,133500,some text here
2358,240000,some text here
1855,187000,some text here
848,131500,some text here
1456,215000,some text here
1646,164000,some text here
1445,158000,some text here
1779,170000,some text here
1040,127000,some text here
1026,147000,some text here
1481,174000,some text here
1370,152000,some text here
2654,250000,some text here
1426,189950,some text here
1039,131500,some text here
1097,152000,some text here
1148,132500,some text here
1372,250580,some text here
1002,148500,some text here
1646,248900,some text here
1120,129000,some text here
2320,169000,some text here
1949,236000,some text here
894,109500,some text here
1682,200500,some text here
910,116000,some text here
1268,133000,some text here
1131,66500,some text here
2610,303477,some text here
1040,132250,some text here
2224,350000,some text here
1155,148000,some text here
864,136500,some text here
1090,157000,some text here
1717,187500,some text here
1593,178000,some text here
2230,118500,some text here
892,100000,some text here
1709,328900,some text here
1712,145000,some text here
1393,135500,some text here
2217,268000,some text here
1505,149500,some text here
924,122900,some text here
1683,172500,some text here
1068,154500,some text here
1383,165000,some text here
1535,118858,some text here
1796,140000,some text here
951,106500,some text here
2240,142953,some text here
2364,611657,some text here
1236,135000,some text here
858,110000,some text here
1306,153000,some text here
1509,180000,some text here
1670,240000,some text here
902,125500,some text here
1063,128000,some text here
1636,255000,some text here
2057,250000,some text here
902,131000,some text here
1484,174000,some text here
2274,154300,some text here
1268,143500,some text here
1015,88000,some text here
2002,145000,some text here
1224,173733,some text here
1092,75000,some text here
480,35311,some text here
1229,135000,some text here
2127,238000,some text here
1414,176500,some text here
1721,201000,some text here
2200,145900,some text here
1316,169990,some text here
1617,193000,some text here
1686,207500,some text here
1126,175000,some text here
2374,285000,some text here
1978,176000,some text here
1788,236500,some text here
2236,222000,some text here
1466,201000,some text here
925,117500,some text here
1905,320000,some text here
1500,190000,some text here
2069,242000,some text here
747,79900,some text here
1200,184900,some text here
1971,253000,some text here
1962,239799,some text here
2403,244400,some text here
1728,150900,some text here
2060,214000,some text here
1440,150000,some text here
1632,143000,some text here
1344,137500,some text here
1869,124900,some text here
1144,143000,some text here
1629,270000,some text here
1776,192500,some text here
1381,197500,some text here
864,129000,some text here
965,119900,some text here
768,133900,some text here
1968,172000,some text here
980,127500,some text here
1958,145000,some text here
1229,124000,some text here
1057,132000,some text here
1337,185000,some text here
1416,155000,some text here
858,116500,some text here
2872,272000,some text here
1548,155000,some text here
1800,239000,some text here
1894,214900,some text here
1484,178900,some text here
1308,160000,some text here
1098,135000,some text here
968,37900,some text here
1095,140000,some text here
1192,135000,some text here
1626,173000,some text here
918,99500,some text here
1428,182000,some text here
2019,167500,some text here
1382,165000,some text here
869,85500,some text here
1241,199900,some text here
894,110000,some text here
1121,139000,some text here
999,178400,some text here
2612,336000,some text here
1266,159895,some text here
2290,255900,some text here
1734,126000,some text here
1164,125000,some text here
1635,117000,some text here
1940,395192,some text here
2030,195000,some text here
1576,197000,some text here
2392,348000,some text here
1742,168000,some text here
1851,187000,some text here
1500,173900,some text here
1718,337500,some text here
1230,121600,some text here
1050,136500,some text here
1442,185000,some text here
1077,91000,some text here
1208,206000,some text here
944,82000,some text here
691,86000,some text here
1574,232000,some text here
1680,136905,some text here
1504,181000,some text here
985,149900,some text here
1657,163500,some text here
1092,88000,some text here
1710,240000,some text here
1522,102000,some text here
1271,135000,some text here
1664,100000,some text here
1502,165000,some text here
1022,85000,some text here
1082,119200,some text here
1665,227000,some text here
1504,203000,some text here
1360,187500,some text here
1472,160000,some text here
1506,213490,some text here
1132,176000,some text here
1220,194000,some text here
1248,87000,some text here
1504,191000,some text here
2898,287000,some text here
882,112500,some text here
1264,167500,some text here
1646,293077,some text here
1376,105000,some text here
1218,118000,some text here
1928,160000,some text here
3082,197000,some text here
2520,310000,some text here
1654,230000,some text here
954,119750,some text here
845,84000,some text here
1620,315500,some text here
2263,287000,some text here
1344,97000,some text here
630,80000,some text here
1803,155000,some text here
1632,173000,some text here
1306,196000,some text here
2329,262280,some text here
2524,278000,some text here
1733,139600,some text here
2868,556581,some text here
990,145000,some text here
1771,115000,some text here
930,84900,some text here
1302,176485,some text here
1316,200141,some text here
1977,165000,some text here
1526,144500,some text here
1989,255000,some text here
1523,180000,some text here
1364,185850,some text here
1850,248000,some text here
2184,335000,some text here
1991,220000,some text here
1338,213500,some text here
894,81000,some text here
2337,90000,some text here
1103,110500,some text here
1154,154000,some text here
2260,328000,some text here
1571,178000,some text here
1611,167900,some text here
2521,151400,some text here
893,135000,some text here
1048,135000,some text here
1556,154000,some text here
1456,91500,some text here
1426,159500,some text here
1240,194000,some text here
1740,219500,some text here
1466,170000,some text here
1096,138800,some text here
848,155900,some text here
990,126000,some text here
1258,145000,some text here
1040,133000,some text here
1459,192000,some text here
1251,160000,some text here
1498,187500,some text here
996,147000,some text here
1092,83500,some text here
1953,252000,some text here
1709,137500,some text here
1247,197000,some text here
1040,92900,some text here
1252,160000,some text here
1694,136500,some text here
1200,146000,some text here
936,129000,some text here
1314,176432,some text here
1355,127000,some text here
1088,170000,some text here
1324,128000,some text here
1601,157000,some text here
438,60000,some text here
950,119500,some text here
1134,135000,some text here
1194,159500,some text here
1302,106000,some text here
2622,325000,some text here
1442,179900,some text here
2021,274725,some text here
1690,181000,some text here
1836,280000,some text here
1658,188000,some text here
1964,205000,some text here
816,129900,some text here
1008,134500,some text here
833,117000,some text here
1734,318000,some text here
1419,184100,some text here
894,130000,some text here
1601,140000,some text here
1040,133700,some text here
1012,118400,some text here
1552,212900,some text here
960,112000,some text here
698,118000,some text here
1482,163900,some text here
1005,115000,some text here
1555,174000,some text here
1530,259000,some text here
1959,215000,some text here
936,140000,some text here
1981,135000,some text here
974,93500,some text here
2210,117500,some text here
2020,239500,some text here
1600,169000,some text here
986,102000,some text here
1252,119000,some text here
1020,94000,some text here
1567,196000,some text here
1167,144000,some text here
952,139000,some text here
1868,197500,some text here
2828,424870,some text here
1006,80000,some text here
924,80000,some text here
1576,149000,some text here
1298,180000,some text here
1564,174500,some text here
1111,116900,some text here
1482,143000,some text here
932,124000,some text here
1466,149900,some text here
1811,230000,some text here
816,120500,some text here
1820,201800,some text here
1437,218000,some text here
1265,179900,some text here
1314,230000,some text here
1580,235128,some text here
1876,185000,some text here
1456,146000,some text here
1640,224000,some text here
894,129000,some text here
1258,108959,some text here
1432,194000,some text here
1502,233170,some text here
1694,245350,some text here
1671,173000,some text here
2108,235000,some text here
3627,625000,some text here
1118,171000,some text here
1261,163000,some text here
1250,171900,some text here
3086,200500,some text here
2345,239000,some text here
2872,285000,some text here
923,119500,some text here
1224,115000,some text here
1343,154900,some text here
1124,93000,some text here
2514,250000,some text here
1652,392500,some text here
4476,745000,some text here
1130,120000,some text here
1572,186700,some text here
1221,104900,some text here
1699,95000,some text here
1624,262000,some text here
1660,195000,some text here
1804,189000,some text here
1622,168000,some text here
1441,174000,some text here
1472,125000,some text here
1224,165000,some text here
1352,158000,some text here
1456,176000,some text here
1863,219210,some text here
1690,144000,some text here
1212,178000,some text here
1382,148000,some text here
864,116050,some text here
1779,197900,some text here
1348,117000,some text here
1630,213000,some text here
1074,153500,some text here
2196,271900,some text here
1056,107000,some text here
1700,200000,some text here
1283,140000,some text here
1660,290000,some text here
1845,189000,some text here
1752,164000,some text here
672,113000,some text here
960,145000,some text here
999,134500,some text here
894,125000,some text here
1902,112000,some text here
1314,229456,some text here
912,80500,some text here
1218,91500,some text here
912,115000,some text here
1211,134000,some text here
1846,143000,some text here
2136,137900,some text here
1490,184000,some text here
1138,145000,some text here
1933,214000,some text here
912,147000,some text here
1702,367294,some text here
1507,127000,some text here
2620,190000,some text here
1190,132500,some text here
1224,101800,some text here
1188,142000,some text here
1964,130000,some text here
1784,138887,some text here
1626,175500,some text here
1948,195000,some text here
1141,142500,some text here
1484,265900,some text here
1768,224900,some text here
1689,248328,some text here
1173,170000,some text here
2076,465000,some text here
1517,230000,some text here
1868,178000,some text here
1553,186500,some text here
1034,169900,some text here
2058,129500,some text here
988,119000,some text here
2110,244000,some text here
1405,171750,some text here
874,130000,some text here
2167,294000,some text here
1656,165400,some text here
1367,127500,some text here
1987,301500,some text here
864,99900,some text here
1166,190000,some text here
1054,151000,some text here
1675,181000,some text here
1050,128900,some text here
1788,161500,some text here
1824,180500,some text here
1337,181000,some text here
1452,183900,some text here
1889,122000,some text here
2018,378500,some text here
3447,381000,some text here
1524,144000,some text here
1524,260000,some text here
1489,185750,some text here
935,137000,some text here
1357,177000,some text here
1250,139000,some text here
1920,137000,some text here
1395,162000,some text here
1724,197900,some text here
2031,237000,some text here
1128,68400,some text here
1573,227000,some text here
1339,180000,some text here
1040,150500,some text here
1824,139000,some text here
2447,169000,some text here
1412,132500,some text here
1328,143000,some text here
1582,190000,some text here
1659,278000,some text here
1970,281000,some text here
1152,180500,some text here
1302,119500,some text here
2372,107500,some text here
1664,162900,some text here
864,115000,some text here
1052,138500,some text here
1128,155000,some text here
1072,140000,some text here
5642,160000,some text here
1246,154000,some text here
1983,225000,some text here
1494,177500,some text here
2526,290000,some text here
1616,232000,some text here
1708,130000,some text here
1652,325000,some text here
1368,202500,some text here
990,138000,some text here
1122,147000,some text here
1294,179200,some text here
1902,335000,some text here
1274,203000,some text here
2810,302000,some text here
2599,333168,some text here
948,119000,some text here
2112,206900,some text here
1630,295493,some text here
1352,208900,some text here
1787,275000,some text here
948,111000,some text here
1478,156500,some text here
720,72500,some text here
1923,190000,some text here
708,82500,some text here
1795,147000,some text here
796,55000,some text here
774,79000,some text here
816,130500,some text here
2792,256000,some text here
1632,176500,some text here
1588,227000,some text here
954,132500,some text here
816,100000,some text here
1360,125500,some text here
1365,125000,some text here
1334,167900,some text here
1656,135000,some text here
693,52500,some text here
1861,200000,some text here
864,128500,some text here
872,123000,some text here
1114,155000,some text here
2169,228500,some text here
1913,177000,some text here
1456,155835,some text here
960,108500,some text here
2156,262500,some text here
1776,283463,some text here
1494,215000,some text here
2358,122000,some text here
2634,200000,some text here
1716,171000,some text here
1176,134900,some text here
3238,410000,some text here
1865,235000,some text here
1920,170000,some text here
892,110000,some text here
1078,149900,some text here
1573,177500,some text here
1980,315000,some text here
2601,189000,some text here
1530,260000,some text here
1738,104900,some text here
1412,156932,some text here
1200,144152,some text here
1674,216000,some text here
1790,193000,some text here
1475,127000,some text here
848,144000,some text here
1668,232000,some text here
1374,105000,some text here
1661,165500,some text here
2097,274300,some text here
2633,466500,some text here
1958,250000,some text here
1571,239000,some text here
790,91000,some text here
1604,117000,some text here
987,83000,some text here
1394,167500,some text here
864,58500,some text here
2117,237500,some text here
1762,157000,some text here
1416,112000,some text here
1258,105000,some text here
1154,125500,some text here
2784,250000,some text here
2526,136000,some text here
1746,377500,some text here
1218,131000,some text here
1525,235000,some text here
1584,124000,some text here
900,123000,some text here
1912,163000,some text here
1500,246578,some text here
2482,281213,some text here
1687,160000,some text here
1513,137500,some text here
1904,138000,some text here
1608,137450,some text here
1158,120000,some text here
1593,193000,some text here
1294,193879,some text here
1464,282922,some text here
1214,105000,some text here
1646,275000,some text here
768,133000,some text here
833,112000,some text here
1363,125500,some text here
2093,215000,some text here
1840,230000,some text here
1668,140000,some text here
1040,90000,some text here
1844,257000,some text here
1848,207000,some text here
1569,175900,some text here
2290,122500,some text here
2450,340000,some text here
