,text,created_at,place,hashtags,subjectivity,polarity,analysis,tokenized_tw
10,day  of quarantine slightly turning into a dog  quarantine stayhome yomequedoencasa cuarentena  corona virus coronavirus dog dogsofinstagram doglife doglover dogoftheday snapchat ,sun mar 22 04:14:03 +0000 2020,"toronto, ontario",quarantine stayhome yomequedoencasa cuarentena covid_19 corona virus coronavirus dog dogsofinstagram doglife doglover dogoftheday snapchat,0.16666666666666666,-0.16666666666666666,negative,"['day', 'of', 'quarantine', 'slightly', 'turning', 'into', 'a', 'dog', 'quarantine', 'stayhome', 'yomequedoencasa', 'cuarentena', 'corona', 'virus', 'coronavirus', 'dog', 'dogsofinstagram', 'doglife', 'doglover', 'dogoftheday', 'snapchat']"
11,part  cause im tired of hearing about corona virus i decided to post my tats and tell ya the meaning feel free to share ur tats and there meaning too id love to know i was actually on tv for this tat at ,fri mar 27 19:50:06 +0000 2020,"toronto, ontario",tv,0.55,0.125,positive,"['part', 'cause', 'im', 'tired', 'of', 'hearing', 'about', 'corona', 'virus', 'i', 'decided', 'to', 'post', 'my', 'tats', 'and', 'tell', 'ya', 'the', 'meaning', 'feel', 'free', 'to', 'share', 'ur', 'tats', 'and', 'there', 'meaning', 'too', 'id', 'love', 'to', 'know', 'i', 'was', 'actually', 'on', 'tv', 'for', 'this', 'tat', 'at']"
12,reposted from  this is serious and personal nowcorona  virus personalhygiene   regrann    ,sun mar 22 02:23:25 +0000 2020,"toronto, ontario",corona covid_19 virus personalhygiene regrann,0.4833333333333333,-0.16666666666666666,negative,"['reposted', 'from', 'this', 'is', 'serious', 'and', 'personal', 'nowcorona', 'virus', 'personalhygiene', 'regrann']"
13,im done positing about corona war n conspiracy shot b they delete my fb account  its time for a social media break i woke up to  warnings  inductions hypnotherapy and reiki ,fri mar 20 13:17:00 +0000 2020,"toronto, ontario",<na>,0.06666666666666667,0.03333333333333333,positive,"['im', 'done', 'positing', 'about', 'corona', 'war', 'n', 'conspiracy', 'shot', 'b', 'they', 'delete', 'my', 'fb', 'account', 'its', 'time', 'for', 'a', 'social', 'media', 'break', 'i', 'woke', 'up', 'to', 'warnings', 'inductions', 'hypnotherapy', 'and', 'reiki']"
14,hows your morning beeni had a breakfast n also drink coffee every morning anywaythis month n also next month plans are all cancelled cos shocking corona virusi wanna go to ,sat mar 21 15:04:46 +0000 2020,"toronto, ontario",<na>,0.5,-0.5,negative,"['hows', 'your', 'morning', 'beeni', 'had', 'a', 'breakfast', 'n', 'also', 'drink', 'coffee', 'every', 'morning', 'anywaythis', 'month', 'n', 'also', 'next', 'month', 'plans', 'are', 'all', 'cancelled', 'cos', 'shocking', 'corona', 'virusi', 'wan', 'na', 'go', 'to']"
15,boy who stole  phones worth million naira in nigeria found in health and in one piece lucky jungle justice was taken upon him by the men in the car nigeria phones corona coronavirus  west hill  ,tue mar 24 19:32:27 +0000 2020,"toronto, ontario",nigeria phones corona coronavirus,0.4666666666666667,0.31666666666666665,positive,"['boy', 'who', 'stole', 'phones', 'worth', 'million', 'naira', 'in', 'nigeria', 'found', 'in', 'health', 'and', 'in', 'one', 'piece', 'lucky', 'jungle', 'justice', 'was', 'taken', 'upon', 'him', 'by', 'the', 'men', 'in', 'the', 'car', 'nigeria', 'phones', 'corona', 'coronavirus', 'west', 'hill']"
16,okay now bye corona please go back     ,sat mar 28 04:38:34 +0000 2020,"toronto, ontario",<na>,0.25,0.25,positive,"['okay', 'now', 'bye', 'corona', 'please', 'go', 'back']"
17,chasing corona with gin  lockdown    ,fri mar 20 00:03:10 +0000 2020,"toronto, ontario",lockdown,0.0,0.0,neutral,"['chasing', 'corona', 'with', 'gin', 'lockdown']"
18,watch this and please repost coronaviruswuhan canada canada      ,tue mar 24 09:27:33 +0000 2020,"toronto, ontario",canada canada covid covid_19,0.0,0.0,neutral,"['watch', 'this', 'and', 'please', 'repost', 'coronaviruswuhan', 'canada', 'canada']"
19,indianorigin team develops test to spot corona infection in  hrs new york an indianorigin team of researchers led by dr ravindra kolhe from georgiabased augusta university has developed a novel accurate  coronavirus featured health news usa,wed mar 25 04:05:32 +0000 2020,"brampton, ontario",coronavirus featured health news usa,0.46262626262626266,0.21212121212121215,positive,"['indianorigin', 'team', 'develops', 'test', 'to', 'spot', 'corona', 'infection', 'in', 'hrs', 'new', 'york', 'an', 'indianorigin', 'team', 'of', 'researchers', 'led', 'by', 'dr', 'ravindra', 'kolhe', 'from', 'georgiabased', 'augusta', 'university', 'has', 'developed', 'a', 'novel', 'accurate', 'coronavirus', 'featured', 'health', 'news', 'usa']"
20,title corona cya catch me  official audioartist the banks aka lyrical kingalbum happy mode riddimproduce by pop plug x deejay banksfollow us on instagram popplug amp inglyyrical coming soon to itunes ,fri mar 20 21:51:56 +0000 2020,"toronto, ontario",<na>,1.0,0.8,positive,"['title', 'corona', 'cya', 'catch', 'me', 'official', 'audioartist', 'the', 'banks', 'aka', 'lyrical', 'kingalbum', 'happy', 'mode', 'riddimproduce', 'by', 'pop', 'plug', 'x', 'deejay', 'banksfollow', 'us', 'on', 'instagram', 'popplug', 'amp', 'inglyyrical', 'coming', 'soon', 'to', 'itunes']"
21,when there is a difficult phase in life or life see the picture of gohar shahi on the moon and call three times or gohar allmdd the help of imam mehdi gohar shahi in the chimney corona coronavirus  ,sat mar 21 18:38:38 +0000 2020,"toronto, ontario",corona coronavirus covid_19,1.0,-0.5,negative,"['when', 'there', 'is', 'a', 'difficult', 'phase', 'in', 'life', 'or', 'life', 'see', 'the', 'picture', 'of', 'gohar', 'shahi', 'on', 'the', 'moon', 'and', 'call', 'three', 'times', 'or', 'gohar', 'allmdd', 'the', 'help', 'of', 'imam', 'mehdi', 'gohar', 'shahi', 'in', 'the', 'chimney', 'corona', 'coronavirus']"
22,found a rack of lamb in the freezer corona shutdown calls for cleaning out such gems wipe off that crystalized ice and grill also in the picture is a shmear of tzatziki feel like grilling some lamp  head to ,fri mar 27 23:18:17 +0000 2020,"toronto, ontario",lamb,0.5,0.0,neutral,"['found', 'a', 'rack', 'of', 'lamb', 'in', 'the', 'freezer', 'corona', 'shutdown', 'calls', 'for', 'cleaning', 'out', 'such', 'gems', 'wipe', 'off', 'that', 'crystalized', 'ice', 'and', 'grill', 'also', 'in', 'the', 'picture', 'is', 'a', 'shmear', 'of', 'tzatziki', 'feel', 'like', 'grilling', 'some', 'lamp', 'head', 'to']"
23,this is how we order during the time of the coronahop on your cell call me we chat and get your order together payment at the door or over the phonecandyfix malteasers rx sourcandy driveup ,thu mar 19 20:23:40 +0000 2020,"toronto, ontario",candyfix malteasers rx sourcandy driveup,0.0,0.0,neutral,"['this', 'is', 'how', 'we', 'order', 'during', 'the', 'time', 'of', 'the', 'coronahop', 'on', 'your', 'cell', 'call', 'me', 'we', 'chat', 'and', 'get', 'your', 'order', 'together', 'payment', 'at', 'the', 'door', 'or', 'over', 'the', 'phonecandyfix', 'malteasers', 'rx', 'sourcandy', 'driveup']"
24,optimum publishing international    dean baxendaleimportant corona virus timeline  axios provides important timeline for coronavirus outbreak,fri mar 27 16:18:28 +0000 2020,"toronto, ontario",<na>,0.6333333333333333,0.3666666666666667,positive,"['optimum', 'publishing', 'international', 'dean', 'baxendaleimportant', 'corona', 'virus', 'timeline', 'axios', 'provides', 'important', 'timeline', 'for', 'coronavirus', 'outbreak']"
25,what getting pulled over in  looks likethoughts on this corona quarantine socialdistancing selfisolation followforfollowback toiletpaper  mount dennis ,wed mar 25 13:38:42 +0000 2020,"toronto, ontario",covid_19 corona quarantine socialdistancing selfisolation followforfollowback toiletpaper,0.0,0.0,neutral,"['what', 'getting', 'pulled', 'over', 'in', 'looks', 'likethoughts', 'on', 'this', 'corona', 'quarantine', 'socialdistancing', 'selfisolation', 'followforfollowback', 'toiletpaper', 'mount', 'dennis']"
26,economical impacts of coronahow many of us are actually paying attention to the aftermath of corona virus and its impact on global economicsstay tuned for a very informatory show only on the aijaz qureshi ,sat mar 28 03:09:47 +0000 2020,"mississauga, ontario",<na>,0.4666666666666666,0.16666666666666666,positive,"['economical', 'impacts', 'of', 'coronahow', 'many', 'of', 'us', 'are', 'actually', 'paying', 'attention', 'to', 'the', 'aftermath', 'of', 'corona', 'virus', 'and', 'its', 'impact', 'on', 'global', 'economicsstay', 'tuned', 'for', 'a', 'very', 'informatory', 'show', 'only', 'on', 'the', 'aijaz', 'qureshi']"
27,title corona cya catch me  official final mix audioartist the banks aka lyrical kingpress play album happy mode riddimproduce by pop plug x deejay banksfollow us on ,fri mar 20 23:23:35 +0000 2020,"toronto, ontario",<na>,1.0,0.4,positive,"['title', 'corona', 'cya', 'catch', 'me', 'official', 'final', 'mix', 'audioartist', 'the', 'banks', 'aka', 'lyrical', 'kingpress', 'play', 'album', 'happy', 'mode', 'riddimproduce', 'by', 'pop', 'plug', 'x', 'deejay', 'banksfollow', 'us', 'on']"
28,whatever happens iss corona ko dhona hai  sometimes youre the pigeon and sometimes youre the statue at this point we have angered nature so much that we are most definitely the statue  but thats ok people we ,thu mar 26 17:15:55 +0000 2020,"toronto, ontario",corona,0.51,0.09,positive,"['whatever', 'happens', 'iss', 'corona', 'ko', 'dhona', 'hai', 'sometimes', 'youre', 'the', 'pigeon', 'and', 'sometimes', 'youre', 'the', 'statue', 'at', 'this', 'point', 'we', 'have', 'angered', 'nature', 'so', 'much', 'that', 'we', 'are', 'most', 'definitely', 'the', 'statue', 'but', 'thats', 'ok', 'people', 'we']"
29,as a sciencebasedbusiness we wonder  the antivaccers be first in line to be vaccinated for this corona virus  and how do the science based tests look now  optimal ,tue mar 24 14:00:37 +0000 2020,"toronto, ontario",sciencebasedbusiness covid_19,0.3333333333333333,0.25,positive,"['as', 'a', 'sciencebasedbusiness', 'we', 'wonder', 'the', 'antivaccers', 'be', 'first', 'in', 'line', 'to', 'be', 'vaccinated', 'for', 'this', 'corona', 'virus', 'and', 'how', 'do', 'the', 'science', 'based', 'tests', 'look', 'now', 'optimal']"
30,alarm highrise residential north yorklawrence avenue corona street  dufferin streetdispatched    edtstn  aerial distchief pumper pumper rescuegeneral area,fri mar 20 13:22:05 +0000 2020,"toronto, ontario",<na>,0.0,0.0,neutral,"['alarm', 'highrise', 'residential', 'north', 'yorklawrence', 'avenue', 'corona', 'street', 'dufferin', 'streetdispatched', 'edtstn', 'aerial', 'distchief', 'pumper', 'pumper', 'rescuegeneral', 'area']"
31,still on liveonair keeping you informed and entertained at the sametime tunein fm  theafricangrooveshow  eveningswithmcbonde youreveningswithmcbonde  corona coronavirus ,thu mar 19 21:27:07 +0000 2020,"toronto, ontario",liveonair tunein toronto theafricangrooveshow eveningswithmcbonde youreveningswithmcbonde covid_19 corona coronavirus,0.0,0.0,neutral,"['still', 'on', 'liveonair', 'keeping', 'you', 'informed', 'and', 'entertained', 'at', 'the', 'sametime', 'tunein', 'fm', 'theafricangrooveshow', 'eveningswithmcbonde', 'youreveningswithmcbonde', 'corona', 'coronavirus']"
32,slimthug  slimthug reveals that he has tested positive for coronaviruscorona  coronavirus selfisolation quarantine wuhan likeforlikes followforfollowback socialdistancing   canada ,tue mar 24 18:28:34 +0000 2020,"toronto, ontario",slimthug coronavirus corona covid_19 coronavirus selfisolation quarantine wuhan likeforlikes followforfollowback socialdistancing,0.5454545454545454,0.22727272727272727,positive,"['slimthug', 'slimthug', 'reveals', 'that', 'he', 'has', 'tested', 'positive', 'for', 'coronaviruscorona', 'coronavirus', 'selfisolation', 'quarantine', 'wuhan', 'likeforlikes', 'followforfollowback', 'socialdistancing', 'canada']"
33,the banks aka lyrical king  corona cya catch me  happy mode riddim produce by popplug x deejay banks come everywhere friday april   canadakatana queensalliance yaraang itzmelioness jiggauncut ,thu mar 26 04:51:12 +0000 2020,"toronto, ontario",<na>,1.0,0.8,positive,"['the', 'banks', 'aka', 'lyrical', 'king', 'corona', 'cya', 'catch', 'me', 'happy', 'mode', 'riddim', 'produce', 'by', 'popplug', 'x', 'deejay', 'banks', 'come', 'everywhere', 'friday', 'april', 'canadakatana', 'queensalliance', 'yaraang', 'itzmelioness', 'jiggauncut']"
34,thank you to those who are putting their lives on the line for us michaeljallan pandemic coronavirus  corona quarantine  stayhome staysafe socialdistancing virus stayathome ,thu mar 26 14:44:49 +0000 2020,"oakville, ontario",michaeljallan pandemic coronavirus covid_19 corona quarantine covid19 stayhome staysafe socialdistancing virus stayathome,0.0,0.0,neutral,"['thank', 'you', 'to', 'those', 'who', 'are', 'putting', 'their', 'lives', 'on', 'the', 'line', 'for', 'us', 'michaeljallan', 'pandemic', 'coronavirus', 'corona', 'quarantine', 'stayhome', 'staysafe', 'socialdistancing', 'virus', 'stayathome']"
35,corona has me like  the nail salon is closed the mall  the mall is closed    ,wed mar 25 15:01:58 +0000 2020,"toronto, ontario",<na>,0.1,-0.1,negative,"['corona', 'has', 'me', 'like', 'the', 'nail', 'salon', 'is', 'closed', 'the', 'mall', 'the', 'mall', 'is', 'closed']"
36,italian newspapers obituary section grows tenfold rome with italy becoming the worsthit nation by the coronavirus outbreak after epicentre china a local newspaper in the countrys mostaffected northern region  featured news world corona italy,sat mar 21 05:12:01 +0000 2020,"brampton, ontario",featured news world corona italy,0.2833333333333334,0.15,positive,"['italian', 'newspapers', 'obituary', 'section', 'grows', 'tenfold', 'rome', 'with', 'italy', 'becoming', 'the', 'worsthit', 'nation', 'by', 'the', 'coronavirus', 'outbreak', 'after', 'epicentre', 'china', 'a', 'local', 'newspaper', 'in', 'the', 'countrys', 'mostaffected', 'northern', 'region', 'featured', 'news', 'world', 'corona', 'italy']"
37,getting my antibodies orona  corona coronabeer stayhome physicaldistancing pandemic  milton  ,wed mar 25 22:56:03 +0000 2020,"milton, ontario",covid_19 corona coronabeer stayhome physicaldistancing pandemic,0.0,0.0,neutral,"['getting', 'my', 'antibodies', 'orona', 'corona', 'coronabeer', 'stayhome', 'physicaldistancing', 'pandemic', 'milton']"
38,ruckusx   corona virus freestyle new audio freestylerap  coronavirus coronavirusrap gtgt hood legends pt  gtgthollywood ruckus aka genesis the ruckus rap till death records boss undisputed rap ,sun mar 22 23:08:05 +0000 2020,"toronto, ontario",ruckus2x freestylerap covid19 coronavirus coronavirusrap,0.45454545454545453,0.13636363636363635,positive,"['ruckusx', 'corona', 'virus', 'freestyle', 'new', 'audio', 'freestylerap', 'coronavirus', 'coronavirusrap', 'gtgt', 'hood', 'legends', 'pt', 'gtgthollywood', 'ruckus', 'aka', 'genesis', 'the', 'ruckus', 'rap', 'till', 'death', 'records', 'boss', 'undisputed', 'rap']"
39,corona virus symptoms as per the whodreamstelevision theaijazqureshishow talkshow aijazqureshi aq coronavirus symptoms who  the aijaz qureshi show ,sat mar 21 03:39:24 +0000 2020,"mississauga, ontario",dreamstelevision theaijazqureshishow talkshow aijazqureshi aq coronavirus symptoms who,0.0,0.0,neutral,"['corona', 'virus', 'symptoms', 'as', 'per', 'the', 'whodreamstelevision', 'theaijazqureshishow', 'talkshow', 'aijazqureshi', 'aq', 'coronavirus', 'symptoms', 'who', 'the', 'aijaz', 'qureshi', 'show']"
40,corona virus  special showfriends please tune in this friday th march  on the aijaz qureshi show at to learn how can we protect ourselves and others around us ,tue mar 24 20:13:44 +0000 2020,"mississauga, ontario",<na>,0.5714285714285714,0.35714285714285715,positive,"['corona', 'virus', 'special', 'showfriends', 'please', 'tune', 'in', 'this', 'friday', 'th', 'march', 'on', 'the', 'aijaz', 'qureshi', 'show', 'at', 'to', 'learn', 'how', 'can', 'we', 'protect', 'ourselves', 'and', 'others', 'around', 'us']"
41,stay sane and keep it together watch a movie read a book build a model or mix a track most importantly move around no one needs couch ass  corona selfdistancing getmeagun listentomusic  home ,wed mar 25 18:50:57 +0000 2020,"toronto, ontario",covid_19 corona selfdistancing getmeagun listentomusic,0.75,0.45,positive,"['stay', 'sane', 'and', 'keep', 'it', 'together', 'watch', 'a', 'movie', 'read', 'a', 'book', 'build', 'a', 'model', 'or', 'mix', 'a', 'track', 'most', 'importantly', 'move', 'around', 'no', 'one', 'needs', 'couch', 'ass', 'corona', 'selfdistancing', 'getmeagun', 'listentomusic', 'home']"
42,corona coronavirus fyi please take and adhere to all precautionary measure to protect your self family and all you come into contact with diarks mpire diarksdiarks brand sxylovjus by ,fri mar 20 18:48:14 +0000 2020,"toronto, ontario",corona coronavirus fyi brand,0.0,0.0,neutral,"['corona', 'coronavirus', 'fyi', 'please', 'take', 'and', 'adhere', 'to', 'all', 'precautionary', 'measure', 'to', 'protect', 'your', 'self', 'family', 'and', 'all', 'you', 'come', 'into', 'contact', 'with', 'diarks', 'mpire', 'diarksdiarks', 'brand', 'sxylovjus', 'by']"
43,cnns chris cuomo and his brother new york governor andrew cuomo keep going back and forth on tv  via cnn followforfollowback  corona coronavirus socialdistancing quarantine  york  ,tue mar 24 18:39:19 +0000 2020,"toronto, ontario",followforfollowback covid_19 corona coronavirus socialdistancing quarantine,0.22727272727272727,0.06818181818181818,positive,"['cnns', 'chris', 'cuomo', 'and', 'his', 'brother', 'new', 'york', 'governor', 'andrew', 'cuomo', 'keep', 'going', 'back', 'and', 'forth', 'on', 'tv', 'via', 'cnn', 'followforfollowback', 'corona', 'coronavirus', 'socialdistancing', 'quarantine', 'york']"
44,antibiotics are not the cure for corona virus please dont try to self medicate yourself by using antibiotics always go to the hospitaldreamstelevision theaijazqureshishow talkshow aijazqureshi aq who ,thu mar 26 20:37:17 +0000 2020,"mississauga, ontario",dreamstelevision theaijazqureshishow talkshow aijazqureshi aq who,0.0,0.0,neutral,"['antibiotics', 'are', 'not', 'the', 'cure', 'for', 'corona', 'virus', 'please', 'dont', 'try', 'to', 'self', 'medicate', 'yourself', 'by', 'using', 'antibiotics', 'always', 'go', 'to', 'the', 'hospitaldreamstelevision', 'theaijazqureshishow', 'talkshow', 'aijazqureshi', 'aq', 'who']"
45,life b corona   canada ,wed mar 25 19:56:59 +0000 2020,"toronto, ontario",corona,0.0,0.0,neutral,"['life', 'b', 'corona', 'canada']"
46,if anyone needs me ill be heading to  for as much haagen dasz ice cream as i can carry in between infinty war and endgame corona isolation icecream beachbody toronto  yyz    ,sat mar 21 04:04:16 +0000 2020,"toronto, ontario",corona isolation icecream beachbody toronto yyz,0.6,-0.15,negative,"['if', 'anyone', 'needs', 'me', 'ill', 'be', 'heading', 'to', 'for', 'as', 'much', 'haagen', 'dasz', 'ice', 'cream', 'as', 'i', 'can', 'carry', 'in', 'between', 'infinty', 'war', 'and', 'endgame', 'corona', 'isolation', 'icecream', 'beachbody', 'toronto', 'yyz']"
47,im just trying to find a corona free corner in my house shisha coronafree ltd    ,sun mar 22 01:37:15 +0000 2020,"toronto, ontario",shisha coronafree ltd2020,0.8,0.4,positive,"['im', 'just', 'trying', 'to', 'find', 'a', 'corona', 'free', 'corner', 'in', 'my', 'house', 'shisha', 'coronafree', 'ltd']"
48,we hope you get well soon aviation industry during this global pandemic corona  pilot flight aircraft    ,mon mar 30 20:28:32 +0000 2020,"toronto, ontario",we hope aviation pandemic corona covid_19 pilot flight aircraft,0.0,0.0,neutral,"['we', 'hope', 'you', 'get', 'well', 'soon', 'aviation', 'industry', 'during', 'this', 'global', 'pandemic', 'corona', 'pilot', 'flight', 'aircraft']"
49,how the hell did this happen theres no traffic  corona ttc toronto yyz staysafe    ,fri mar 27 01:01:34 +0000 2020,"toronto, ontario",covid_19 corona ttc toronto yyz staysafe,0.0,0.0,neutral,"['how', 'the', 'hell', 'did', 'this', 'happen', 'theres', 'no', 'traffic', 'corona', 'ttc', 'toronto', 'yyz', 'staysafe']"
50,  sikh nonprofit launches food bank in canada ottawa a sikh nonprofit has launched an emergency food bank in canada to assist with the overwhelming demand for food supplies and hygiene  canada coronavirus featured corona foodbank,wed mar 25 10:02:02 +0000 2020,"brampton, ontario",canada coronavirus featured corona foodbank,1.0,0.5,positive,"['sikh', 'nonprofit', 'launches', 'food', 'bank', 'in', 'canada', 'ottawa', 'a', 'sikh', 'nonprofit', 'has', 'launched', 'an', 'emergency', 'food', 'bank', 'in', 'canada', 'to', 'assist', 'with', 'the', 'overwhelming', 'demand', 'for', 'food', 'supplies', 'and', 'hygiene', 'canada', 'coronavirus', 'featured', 'corona', 'foodbank']"
51, ways you can have a positive impact on your community in a trying time corona  architecture interiordesign realestate realestateagent realtor outdoorliving homebuilding ,fri mar 27 17:52:35 +0000 2020,"toronto, ontario",corona covid_19 architecture interiordesign realestate realestateagent realtor outdoorliving homebuilding,0.5454545454545454,0.22727272727272727,positive,"['ways', 'you', 'can', 'have', 'a', 'positive', 'impact', 'on', 'your', 'community', 'in', 'a', 'trying', 'time', 'corona', 'architecture', 'interiordesign', 'realestate', 'realestateagent', 'realtor', 'outdoorliving', 'homebuilding']"
52,stayhome staysafe socialdistancing besafe corona  covd  view lake ,mon mar 30 14:11:44 +0000 2020,"kawartha lakes, ontario",stayhome staysafe socialdistancing besafe corona covid_19 covıd19,0.0,0.0,neutral,"['stayhome', 'staysafe', 'socialdistancing', 'besafe', 'corona', 'covd', 'view', 'lake']"
53,happy spring my friends another winter has passed so too shall this corona curse and we  emerge stronger and kinder trust we are still baking biscotti and wrapping pretty packages but until it is safe to ,fri mar 20 21:36:43 +0000 2020,"toronto, ontario",<na>,0.8333333333333334,0.5166666666666667,positive,"['happy', 'spring', 'my', 'friends', 'another', 'winter', 'has', 'passed', 'so', 'too', 'shall', 'this', 'corona', 'curse', 'and', 'we', 'emerge', 'stronger', 'and', 'kinder', 'trust', 'we', 'are', 'still', 'baking', 'biscotti', 'and', 'wrapping', 'pretty', 'packages', 'but', 'until', 'it', 'is', 'safe', 'to']"
54,canada healthcare worker claims the coronavirus cases are actually higher than whats being reported  this surprising to yall   corona coronavirus followforfollowback   pearson ,sat mar 21 09:46:15 +0000 2020,"mississauga, ontario",covid_19 corona coronavirus followforfollowback,0.5,0.475,positive,"['canada', 'healthcare', 'worker', 'claims', 'the', 'coronavirus', 'cases', 'are', 'actually', 'higher', 'than', 'whats', 'being', 'reported', 'this', 'surprising', 'to', 'yall', 'corona', 'coronavirus', 'followforfollowback', 'pearson']"
